	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Hrach	Proper noun	tr	given name	fas	هراچ	tr=herâč
eng	Hrach	Proper noun	tr	given name	hye	Հրաչ	sc=Armn
eng	Hrach	Proper noun	tr	given name	rus	Грач
eng	Hrach	Proper noun	tr	given name	rus	Рач
eng	Hrachya	Proper noun	tr	given name	fas	هراچیا	tr=herâčiyâ
eng	Hrachya	Proper noun	tr	given name	hye	Հրաչյա	sc=Armn
eng	Hrachya	Proper noun	tr	given name	rus	Грачья́
eng	Hrachya	Proper noun	tr	given name	rus	Рачья́
eng	Hrachya	Proper noun	tr	given name	xcl	Հրաչեայ	sc=Armn
eng	Hradec Králové	Proper noun	tr	city in the Czech republic	ces	Hradec Králové	m
eng	Hradec Králové	Proper noun	tr	city in the Czech republic	deu	Hradec Králové	n
eng	Hradec Králové	Proper noun	tr	city in the Czech republic	deu	Königgrätz	n
eng	Hradec Králové	Proper noun	tr	city in the Czech republic	pol	Hradec Králové	m
eng	Hradec Králové	Proper noun	tr	city in the Czech republic	rus	Гра́дец-Кра́лове	m	tr=Grádec-Královɛ
eng	Hradec Králové	Proper noun	tr	city in the Czech republic	rus	Кёниггрец	m	tr=Kjóniggrɛc
eng	Hradec Králové	Proper noun	tr	city in the Czech republic	rus	Кёниггре́ц	m	tr=Kjoniggrɛ́c
eng	Hradec Králové	Proper noun	tr	city in the Czech republic	slk	Hradec Králové	m
eng	Hrazdan	Proper noun	tr	river	fas	هرازدان	tr=herâzdân
eng	Hrazdan	Proper noun	tr	river	hye	Հրազդան
eng	Hrazdan	Proper noun	tr	river	kat	რაზდანი
eng	Hrazdan	Proper noun	tr	river	rus	Разда́н	m
eng	Hrazdan	Proper noun	tr	river	xcl	Հրազդան
eng	Hrazdan	Proper noun	tr	town	fas	هرازدان	tr=herâzdân
eng	Hrazdan	Proper noun	tr	town	hye	Հրազդան
eng	Hrazdan	Proper noun	tr	town	kat	რაზდანი
eng	Hrazdan	Proper noun	tr	town	rus	Разда́н	m
eng	HRM	Noun	tr	human resources management	fra	DRH	f
eng	HRM	Proper noun	tr	Halifax Regional Municipality	fra	MRH	f
eng	hr	Noun	tr	abbreviation of hour	ces	hod.
eng	hr	Noun	tr	abbreviation of hour	ind	jm
eng	hr	Noun	tr	abbreviation of hour	swe	h
eng	hr	Noun	tr	abbreviation of hour	swe	tim
eng	hryvnia	Noun	tr	Ukrainian currency	ara	هَرِيفْنَا	f
eng	hryvnia	Noun	tr	Ukrainian currency	ara	هْرِيفْنَا	f
eng	hryvnia	Noun	tr	Ukrainian currency	bel	гры́ўна	f
eng	hryvnia	Noun	tr	Ukrainian currency	bul	гри́вна	f
eng	hryvnia	Noun	tr	Ukrainian currency	ces	hřivna	f
eng	hryvnia	Noun	tr	Ukrainian currency	cmn	乌克兰元	tr=Wūkèlán yuán	sc=Hani
eng	hryvnia	Noun	tr	Ukrainian currency	cmn	格里夫納	sc=Hani
eng	hryvnia	Noun	tr	Ukrainian currency	cmn	格里夫纳	tr=gélǐfūnà	sc=Hani
eng	hryvnia	Noun	tr	Ukrainian currency	cmn	烏克蘭元	sc=Hani
eng	hryvnia	Noun	tr	Ukrainian currency	cmn	赫里夫尼亚	tr=hèlǐfūníyǎ	sc=Hani
eng	hryvnia	Noun	tr	Ukrainian currency	cmn	赫里夫尼亞	sc=Hani
eng	hryvnia	Noun	tr	Ukrainian currency	deu	Hrywnja	f
eng	hryvnia	Noun	tr	Ukrainian currency	ell	γρίβνα	f
eng	hryvnia	Noun	tr	Ukrainian currency	ell	χρίβνια	f
eng	hryvnia	Noun	tr	Ukrainian currency	est	grivna
eng	hryvnia	Noun	tr	Ukrainian currency	fas	گریونا	tr=gerivnâ
eng	hryvnia	Noun	tr	Ukrainian currency	fin	grivna
eng	hryvnia	Noun	tr	Ukrainian currency	fra	hryvnia	f
eng	hryvnia	Noun	tr	Ukrainian currency	hbs	hrivnja	f
eng	hryvnia	Noun	tr	Ukrainian currency	hbs	хривња	f
eng	hryvnia	Noun	tr	Ukrainian currency	heb	הריבניה	sc=Hebr
eng	hryvnia	Noun	tr	Ukrainian currency	hin	रिव्निया
eng	hryvnia	Noun	tr	Ukrainian currency	hun	hrivnya
eng	hryvnia	Noun	tr	Ukrainian currency	hye	գռիվնա
eng	hryvnia	Noun	tr	Ukrainian currency	hye	գրիվնա
eng	hryvnia	Noun	tr	Ukrainian currency	jpn	フリヴニャ	tr=furivunya
eng	hryvnia	Noun	tr	Ukrainian currency	kat	გრივნა
eng	hryvnia	Noun	tr	Ukrainian currency	kor	흐리브냐
eng	hryvnia	Noun	tr	Ukrainian currency	mkd	хривнија	f
eng	hryvnia	Noun	tr	Ukrainian currency	pol	hrywna	f
eng	hryvnia	Noun	tr	Ukrainian currency	por	grivna	f
eng	hryvnia	Noun	tr	Ukrainian currency	por	hryvnia	f
eng	hryvnia	Noun	tr	Ukrainian currency	ron	grivna	f
eng	hryvnia	Noun	tr	Ukrainian currency	ron	hryvnia	f
eng	hryvnia	Noun	tr	Ukrainian currency	rus	гри́вна	f
eng	hryvnia	Noun	tr	Ukrainian currency	slk	hrivna	f
eng	hryvnia	Noun	tr	Ukrainian currency	slv	hryvnia	f
eng	hryvnia	Noun	tr	Ukrainian currency	spa	grivna	f
eng	hryvnia	Noun	tr	Ukrainian currency	spa	hryvnia	f
eng	hryvnia	Noun	tr	Ukrainian currency	swe	hryvnja
eng	hryvnia	Noun	tr	Ukrainian currency	tur	grivna
eng	hryvnia	Noun	tr	Ukrainian currency	ukr	гри́вня	f
