key,Globasa,English,Esperanto,Spanish,German,Dutch,French,Italian,Russian,Latin,Ancient Greek,Hebrew,Arabic,Mandarin Chinese,Japanese,Old English,Yiddish,Turkish,Tatar,Portuguese,Romanian,Swedish,Sanskrit,Greek,Polish,Bulgarian,Ukrainian,Serbian,Czech,Hungarian,Korean,Vietnamese,Indonesian,Malay,Tagalog,Persian,Hindi,Urdu,Bengali,Tamil,Telugu,Kannada,Malayalam,Gujarati,Panjabi,Swahili
pos,Lexiklase,PoS,Vortspeco,Cat. gram.,Wortart,Woordsoort,Cat. gram.,Cat. gram.,Часть речи,Pars orationis,Μέρος λόγου,חלק דיבור,جزء الكلام,词类,品詞,,רעד־טייל,Söz türü,Сүз төркеме,classe gramatical,parte de vorbire,ordklass,विभक्तिः,μέρος του λόγου,część mowy,част на речта́,части́на мо́ви,Део говора,slovní druh,szófaj,품사,từ loại,kelas kata,golongan kata,bahagi ng pananalita,نوع کلمه,शब्द भेद,کَلِمَہ,পদ,சொல்,భాషాభాగము,,വാക്പദവിഭാഗം,વ્યાકરણિક શ્રેણી,ਸ਼ਬਦ-ਸ਼੍ਰੇਣੀ,Aina ya neno
verb_type,Felfalelexi,Verb type,Verbtipo,Tipo de verbo,Verbtyp,Werkwoordtype,Type de verbe,Tipo di verbo,Тип глагола,Modus verbi,,סוג פועל,نوع الفعل,动词类型,動詞の種類,,ווערב־טיפּ,Fiil türü,Фигыль төре,verbo,verb,verb,क्रिया,ρήμα,czasownik,глаго́л,дієсло́во,Тип глагола,sloveso,ige,동사,động từ,verba,kata kerja,pandiwa,نوع فعل,क्रिया,فِعْل,ক্রিয়া,வினைச்சொல்,క్రియ,ಕ್ರಿಯಾಪದ,ക്രിയ,ક્રિયાપદ,ਕਿਰਿਆ,kitenzi
tags,Label,Tags,Etikedoj,Etiquetas,Schlagwörter,Tags,Étiquettes,Etichette,Теги,Notae,,תגיות,وسوم,标签分类,タグ一覧,,טאַגס,Etiketler,Тэглар,etiqueta,etichetă,etikett,चिह्नानि,ετικέτα,metka,етикет,тег,Ознаке,štítek,címke,술래잡기,nhãn,label,tanda,Mga tag,اتیکت,लेबल,لیبل,লেবেল,குறிச்சொற்கள்,ట్యాగులు,,ടാഗുകൾ,ટેગ્સ,ਟੈਗ,Lebo
category,Klase,Category,Kategorio,Categoría,Kategorie,Categorie,Catégorie,Categoria,Категория,Categoria,κατηγορία,קטגוריה,فئة,词汇类别,語彙カテゴリー,,קאַטעגאָריע,Kategori,Категория,categoria,categorie,kategori,कृपा,κατηγορία,kategoria,катего́рия,катего́рія,Категорија,kategorie,kategória,부문,thể loại,baik,jenis,uri,رده,वर्ग,زُمْرَہ,বিষয়শ্রেণী,வகை,రకము,,തരം,શ્રેણી,ਵਰਗ,aina
etymology,Lexiasel,Etymology,Etimologio,Etimología,Etymologie,Etymologie,Étymologie,Etimologia,Этимология,Etymologia,Ἐτυμολογία,אטימולוגיה,أصل الكلمة,词源信息,語源情報,namena ordfruma,עטימאָלאָגיע,Etimoloji,Этимология,etimologia,etimologie,etymologi,व्युत्पत्ति,ετυμολογία,źródłosłów,етимоло́гия,етимоло́гія,Етимологија,etymologie,szófejtés,어원,từ nguyên,etimologi,etimologi,panuysuyan,ریشه‌شناسی,व्युत्पत्ति,صَرْف,শব্দতত্ত্ব,சொற்பிறப்பியல்,వ్యుత్పత్తి,ಪದದ ಹಿನ್ನೆಲೆ,നിരുക്തം,મૂળશાસ્ત્ર,ਮੂਲ-ਸ਼ਾਸਤਰ,etimolojia
derived_words,Tongilexi,Derived words,Derivitaj vortoj,Palabras derivadas,Abgeleitete Wörter,Afgeleide woorden,Mots dérivés,Parole derivate,Производные слова,Verba derivata,γονή,מילים נגזרות,كلمات مشتقّة,派生词列表,派生語一覧,,אָפּגעלענטע ווערטער,Türetilmiş kelimeler,Туынды сүзләр,derivado,derivație,avledning,उत्पन्नशब्दाः,παράγωγο,derywacja,деривация,Похідні слова,Изведене речи,odvození,kinyerés,파생어,Từ phái sinh,turunan,Kata terbitan,hango,اشتقاقی,व्युत्पन्न शब्द,ماخوذ الفاظ,উৎপন্ন শব্দ,வழிச்சொற்கள்,ఉత్పన్న పదాలు,,ഉത്പന്നപദങ്ങൾ,ઉત્પન્ન શબ્દો,ਉਤਪੰਨ ਸ਼ਬਦ,kinyambuo
example_sentences,Misalli jumle,Example sentences,Ekzemplaj frazoj,Oraciones de ejemplo,Beispielsätze,Voorbeeldzinnen,Phrases d'exemple,Frasi di esempio,Примеры предложений,Sententiae exemplares,παράδειγμα,משפטי דוגמה,جمل نموذجيّة,用例句,用例文,bȳsn,בײַשפּיל־זאַצן,Örnek cümleler,Мисал җөмләләр,exemplo,pildă,exempel,उदाहरण,παράδειγμα,przykład,при́мер,при́клад,Примери реченица,příklad,példa,례,ví dụ,misal,misal,halimbawa,جملات نمونه,मिसाल,مِثال,নমুনা,எடுத்துக்காட்டு,ఉదాహరణము,,ഉദാഹരണം,ઉદાહરણ વાક્યો,ਮਿਸਾਲ,mfano
constructions,Kostrui,Constructions,Konstruaĵoj,Construcciones,Konstruktionen,Constructies,Constructions,Costruzioni,Конструкции,Constructiones,,מבנים,تراكيب,构式用法,構文パターン,,קאָנסטרוקציעס,Yapılar,Конструкцияләр,edificação,clădire,konstruktion,रूपम्,κατασκευή,budowa,стро́ителство,будо́ва,Конструкције,stavba,építés,건설,xây dựng,konstruksi,pembinaan,sayari,ساخت,निर्माण,تَعْمِیر,নির্মাণ,கட்டமைப்புகள்,నిర్మాణాలు,,രൂപം,બાંધકામ,ਰਚਨਾਵਾਂ,Miundo
synonyms,Samamenalexi,Synonyms,Sinonimoj,Sinónimos,Synonyme,Synoniemen,Synonymes,Sinonimi,Синонимы,Synonyma,συνώνυμον,מילים נרדפות,مرادفات,同义词列表,類義語一覧,,סינאָנימען,Eş anlamlılar,Синонимнар,sinônimo,sinonim,synonym,समानार्थकाः,συνώνυμο,synonim,синони́м,сино́нім,Синоними,synonymum,szinonima,같은말 same,từ đồng nghĩa,sinonim,sinonim,singkahulugan,مترادف,पर्याय,مترادف,প্রতিশব্দ,ஒத்த சொற்கள்,ప్రతిపదము,,പര്യായം,સમાનાર્થક,ਸਮਾਨਾਰਥੀ,kisawe
